id	label
ENVO:00000022	river
ENVO:00002131	epilimnion
ENVO:00000148	riffle
ENVO:03600095	stream run
ENVO:03605007	freshwater stream
ENVO:03600094	stream pool
ENVO:00000021	freshwater lake
ENVO:01000409	freshwater littoral zone
ENVO:00000384	river bed
ENVO:03600096	step pool
ENVO:01001191	water surface
ENVO:01000297	freshwater river
ENVO:00002269	thermocline
ENVO:00002130	hypolimnion
ENVO:00002132	metalimnion
ENVO:01000687	coast
ENVO:02000139	desert spring
ENVO:00000045	estuary
ENVO:00000211	marine bathypelagic zone
ENVO:00000057	mangrove swamp
ENVO:03000040	melt pond
ENVO:00000091	beach
ENVO:00000488	glacial lake
ENVO:00000402	mud volcano
ENVO:00000209	marine photic zone
ENVO:00000035	marsh
ENVO:00000475	inlet
ENVO:00000463	harbour
ENVO:00000218	black smoker
ENVO:00000233	swamp ecosystem
ENVO:00000027	spring
ENVO:00000015	ocean
ENVO:00000051	hot spring
ENVO:00000195	sinkhole
ENVO:00000394	strait
ENVO:01001072	anoxic lake
ENVO:2000004	algal bloom
ENVO:03000120	subglacial lake
ENVO:01001209	wetland ecosystem
ENVO:00000150	coral reef
ENVO:00002061	oil spill
ENVO:00000255	flood plain
ENVO:01000617	lentic water body
ENVO:01000407	littoral zone
ENVO:01000618	lotic water body
ENVO:00000020	lake
ENVO:00000215	hydrothermal vent
ENVO:00000206	marine neritic zone
ENVO:00000316	intertidal zone
ENVO:00000016	sea
ENVO:00000220	archipelago
ENVO:00000232	fen
ENVO:00000247	volcano
ENVO:00001997	acid mine drainage
ENVO:00000208	marine pelagic zone
ENVO:01000298	continental margin
ENVO:00001996	mine drainage
ENVO:01000008	microbial mat
ENVO:00000213	marine mesopelagic zone
ENVO:00000244	abyssal plain
ENVO:00000033	pond
ENVO:00002034	biofilm
ENVO:00000054	saline marsh
ENVO:01000905	shrimp pond
ENVO:03600074	aquaculture farm
ENVO:00000210	marine aphotic zone
ENVO:01000749	oceanic crust
ENVO:00000275	ocean trench
ENVO:03600041	marine lake
ENVO:00000023	stream
ENVO:01000263	cold seep
ENVO:00002063	oil seep
ENVO:00000214	hadalpelagic zone
ENVO:01000871	puddle of water
ENVO:00000039	fjord
ENVO:00000133	glacier
ENVO:00000114	agricultural field
ENVO:03600071	cyanobacterial bloom
